signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
is_admin(p_user_id text),boolean,false,true,true,false,false,false,users.read_users; custom_payments.select_custom_payments; places.select_places; places.insert_places; places.update_places_admin; bulk_deals.read_bulk_deals; group_buy_tokens.read_group_buy_tokens; bulk_deals.write_bulk_deals; proposals.read_proposals; profile_deletion_requests.update_deletion_requests_admin; bulk_deal_pledges.read_bulk_deal_pledges; bulk_deal_tokens.read_bulk_deal_tokens; businesses.read_businesses; profile_deletion_requests.delete_own_deletion_requests; profile_deletion_requests.read_own_deletion_requests; providers.read_providers,false,false,,,LOW
is_blocked_between(p_other_user_id text),boolean,true,true,true,true,false,false,community_posts.Allow read access to community_posts for all,false,false,,,LOW
is_entity_password_set(p_kind text),boolean,false,true,true,true,false,false,false,false,false,,,LOW
is_entity_recovery_set(p_kind text),boolean,false,true,true,true,false,false,false,false,false,,,LOW
"is_society_admin(p_society_id uuid, p_user_id text)",boolean,false,true,true,false,false,false,society_members.mem_update; society_members.delete_society_members,false,false,,,LOW
"is_society_member(p_society_id uuid, p_user_id text)",boolean,false,true,true,false,false,false,society_members.mem_read,false,false,,,LOW
is_switch_pin_set(),boolean,false,true,true,true,false,false,false,false,false,,,LOW
me_too_toggle(p_request_id text),jsonb,false,true,true,true,false,true,false,false,false,,,HIGH
my_business_access_scope(p_business_id text),"TABLE(access_level text, scopes text[])",false,true,true,true,true,false,false,false,false,,,LOW
my_business_access_status(p_business_id text),boolean,false,true,true,true,true,false,false,false,false,,,LOW
my_delegated_business_password_status(),"TABLE(business_id text, required boolean)",false,true,true,true,true,false,false,false,false,,,LOW
my_delegated_businesses(),SETOF text,false,true,true,true,true,false,false,false,false,src/services/core/userService.ts,,LOW
my_deliveries(),"TABLE(id text, appointment_id text, business_id text, business_name text, customer_name text, customer_area text, delivery_address_line text, delivery_lat double precision, delivery_lng double precision, scheduled_for timestamp with time zone, date_label text, time_label text, status text, live_status text, handoff_code text, handoff_verified boolean, lat double precision, lng double precision, batch_id text, stop_order integer, batch_status text, batch_lat double precision, batch_lng double precision, created_at timestamp with time zone, delivered_at timestamp with time zone)",false,true,true,true,true,false,false,false,false,,,LOW
my_delivery_progress(p_appointment_id text),"TABLE(id text, status text, live_status text, handoff_code text, handoff_verified boolean, agent_name text, agent_phone text, agent_avatar text, agent_revealed boolean, eta_text text, stops_before integer, cancel_reason text, cancel_note text)",false,true,true,true,true,false,false,false,false,,,LOW
my_duty_blockers(),"TABLE(blocking_count integer, blocking_delivery_id text, blocking_batch_id text)",false,true,true,true,true,false,false,false,false,,,LOW
my_live_share_recipients(),"TABLE(recipient_user_id text, recipient_name text, recipient_avatar text)",false,true,true,true,false,false,false,false,false,,,MEDIUM
"neighborhood_today(in_lat double precision, in_lng double precision, in_radius_m integer)",json,true,true,true,false,false,false,false,false,false,src/features/neighborhood-today/useNeighborhoodToday.ts,,LOW
notification_push_health(),"TABLE(pg_net_installed boolean, functions_url_configured boolean, service_role_key_configured boolean, trigger_installed boolean)",false,true,true,false,false,false,false,false,false,,,MEDIUM
notify_admins_business_pending(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
